word,expected_entropy,frequency
agama,2.70844825569105,68959
agami,3.41152278735613,18814
agape,3.99093663753697,414471
agars,4.41633539848569,0
agast,4.29942579496323,0
agate,4.5623156225089,900451
agave,3.73399114905676,312239
agaze,3.48080240486886,0
agene,4.33982955443518,0
agent,4.94484431179032,57103658
agers,5.37315826181632,180316
agger,4.34045032788342,27373
aggie,4.20946815181603,616732
aggri,3.77368724757286,0
aggro,3.93511706663155,171343
aggry,3.40940627279655,0
aghas,3.95786889806429,0
agila,3.88302455140223,64661
agile,5.13382138013977,1808955
aging,3.63406254772963,12014007
agios,4.87140635546849,230082
agism,4.44271292072105,0
agist,4.9991144185595,0
agita,4.02130003850754,0
aglee,4.44011780742724,0
aglet,5.16482391707091,21535
agley,4.50388086402809,0
agloo,3.71872033165077,0
aglow,4.0071963408166,110328
aglus,4.56858057498872,0
agmas,3.78594833210063,0
agoge,4.17998366182537,0
agone,4.95198000819988,0
agons,4.89772302951581,0
agony,4.09709794184997,1543205
agood,3.70281305559112,24742
agora,4.07132926654487,797585
agree,4.62984040909419,47500911
agria,3.98146099052822,0
agrin,4.66972861761635,23924
agros,5.06671708319372,0
agued,4.53525474137046,0
agues,5.03769760229945,0
aguna,3.39558975459684,0
aguti,4.340029881076,0
ahead,4.33247089110772,28375319
aheap,4.10398039404274,0
ahent,5.28521570659061,0
ahigh,3.81440509009511,12899
ahind,4.77718259390257,0
ahing,4.45282284010189,0
ahint,5.06473981681676,0
ahold,4.78013769803026,295977
ahull,3.93345152837737,0
ahuru,3.97435044714702,0
aidas,4.4801558919796,0
aided,4.50820317859412,3314916
aider,5.41058975594287,140957
aides,5.55916678478102,1614522
aidoi,3.89314096221446,0
aidos,5.08399967744919,0
aiery,5.09165708283731,0
aigas,4.27773211248841,0
aight,4.58050361480897,127253
ailed,5.2929092381398,20703
aimed,4.98456619926092,10030370
aimer,5.26970417896551,96862
ainee,4.8681798615514,0
ainga,3.69896966235169,0
aioli,4.26758420871612,84769
aired,5.50051842214229,2159611
airer,4.95663299190818,36215
airns,5.48570737046084,0
airth,5.28169953602303,28113
airts,5.69892603610837,0
aisle,5.68262548758216,1917319
aitch,4.83331589392942,28626
aitus,5.21795097434206,0
aiver,5.02428308860469,0
aiyee,4.41355358626071,0
aizle,4.73067602406446,0
