word	expected_entropy	frequency
geums	4.49717	0
silds	4.33452	0
pyres	4.86328	22032
bizzo	2.66972	0
vents	4.91714	1493908
egret	4.48348	394773
oxers	4.80572	0
vends	4.50667	20166
masse	4.60888	515818
kelpy	3.64994	0
agons	4.89772	0
aread	4.6541	0
pyins	4.29482	0
aglus	4.56858	0
loner	5.43481	260915
diddy	2.54983	734427
aglet	5.16482	21535
cutin	4.5642	0
ahull	3.93345	0
epode	4.01764	0
atone	5.55715	152901
prays	4.67701	382397
kbars	4.5353	0
zowee	3.51018	0
baken	4.40474	16235
gross	4.39658	16440590
qursh	3.96396	0
mimeo	4.10342	233985
heuch	3.73252	0
mimer	4.30481	59583
palpi	3.70281	0
rowme	4.73788	0
poboy	2.92116	0
aesir	5.58653	33093
odyls	4.38717	0
draws	4.89259	5458448
vughs	3.69474	0
fusty	3.87058	14545
blatt	4.09312	176015
flary	4.17552	0
pelts	5.21588	135142
couch	3.66214	4581367
abysm	3.71693	0
herbs	5.00011	8271850
lardy	4.49214	36712
hoaed	5.2312	0
swiss	3.30493	21324437
shard	5.22765	287428
wiped	4.40266	1491628
quids	3.93379	43051
ramie	5.27998	101611
dutch	4.12836	19000979
haiku	4.2148	1557648
spank	4.35587	5416004
canto	4.98019	643291
fudgy	2.97538	42078
goier	5.25104	0
erred	3.84205	943538
botts	4.35261	100045
liner	5.32663	4486145
punky	3.15415	183430
amids	4.78584	0
yogin	4.07603	0
qophs	3.9497	0
diner	5.16906	2261961
hinky	3.68538	16281
candy	4.08844	13772033
abask	3.48313	0
yogas	4.55421	29407
aback	3.08512	272920
chant	4.93104	1374428
smarm	4.2432	0
louis	5.14443	38259201
mated	5.10496	497140
ceaze	3.8251	0
mikva	3.47263	14682
mawrs	4.77387	0
faros	5.01561	27882
those	5.49414	270014141
pasha	3.85009	411571
falaj	2.90265	0
reify	4.3106	31944
dozen	4.2801	9776227
filar	4.70694	0
ovate	5.01002	143727
pashm	4.30348	0
mangs	4.51329	0
lofty	4.15538	1018661
flees	4.44526	244621
tapas	4.54774	580527
cycad	3.20298	60893
tempt	3.94147	494586
knarl	4.54283	0
order	4.49027	336631187
snafu	4.33056	239431
foxed	3.9252	54921
laded	4.4581	34603
volae	4.90918	0
musky	3.33732	177529
krabs	4.55876	23057
roral	4.5302	0
ennog	3.63222	0
walks	4.36174	7744070
cycas	3.68308	33996
costs	4.55728	101090970
covet	4.82457	219812
tides	5.6306	1884762
quake	3.85464	4544481
zooty	3.1343	0
teals	5.89104	0
speak	4.64906	31324712
foxes	4.4093	801589
folia	4.45529	169908
rates	5.99053	137089538
exfil	3.67593	0
combo	3.23292	10592758
withs	4.66154	17564
fouds	4.29533	0
forgo	3.49863	340426
voids	4.60131	470343
oleos	4.67695	0
hears	5.67092	1737280
kinda	4.08976	5660928
kails	4.99373	0
proud	4.42406	17167504
codon	3.78247	762548
comby	3.56285	0
dirty	4.56517	16101662
motet	4.61408	83259
dealt	5.36115	6174968
pucan	4.0675	0
calmy	4.01859	0
proul	4.59446	0
noily	4.53139	0
cheep	3.97986	411919
vises	4.29084	146483
foids	4.67871	0
arses	5.20039	82425
basse	4.48816	317589
skull	3.57382	4457991
ocrea	5.15038	0
abbes	4.37364	25330
abbas	3.15964	1437558
bassi	3.9065	178307
skoff	3.24244	0
nabis	4.81409	17936
bemud	3.89966	0
yerds	4.82424	0
remet	4.64248	0
topaz	4.14226	2348935
wowed	3.91377	131643
acnes	5.33936	44507
scorn	5.04027	622924
wowee	3.50823	30929
remex	3.59069	0
petri	5.05622	1072903
mirvs	4.47132	0
tenne	4.0291	14414
airth	5.2817	28113
buxom	2.97491	237464
blins	4.75161	0
lawer	5.12897	62934
shlub	4.24704	0
dooce	4.27621	268785
plaza	2.99242	14274314
bulse	4.70399	0
miltz	3.91247	0
biggs	3.5793	782849
burin	4.33339	58788
pints	4.96176	596841
sokol	3.96388	195506
gowan	4.17799	112945
thali	5.07825	63177
munch	3.84297	699127
beaus	4.89031	21947
creek	4.1402	38159464
beaut	4.78898	160328
creak	4.75063	124122
woker	4.58822	0
